city_roundroute,flty,flt_count,prev_total,pax_total
Danang : Tokyo,2018,614,383418568914.0,51174.0
Danang : Tokyo,2019,724,474690177966.0,64083.0
Danang : Wuhan,2015,72,20592550370.0,11243.0
Danang : Wuhan,2016,99,44683062800.0,17988.0
Danang : Xi'an,2015,59,14918394540.0,7905.0
Danang : Xi'an,2016,37,19915121000.0,4855.0
Danang : Xi'an,2017,102,55339230500.0,17479.0
Danang : Xi'an,2018,122,55480474000.0,20811.0
Danang : Xi'an,2019,20,10570920000.0,3302.0
Danang : Zunyi,2017,76,35800593420.0,9029.0
Danang : Zunyi,2018,32,13335827580.0,2925.0
Ho Chi Minh City : Bangkok,2015,2018,456504260934.4,230352.80000000002
Ho Chi Minh City : Bangkok,2016,2081,468745186001.6,249176.80000000002
Ho Chi Minh City : Bangkok,2017,2063,498177944652.8,253013.6
Ho Chi Minh City : Bangkok,2018,2053,578207670576.0,263141.60000000003
Ho Chi Minh City : Bangkok,2019,2017,533134356947.2,263860.0
Ho Chi Minh City : Busan,2015,729,675925554206.0,122302.0
Ho Chi Minh City : Busan,2016,735,787687384940.0,160661.0
Ho Chi Minh City : Busan,2017,680,952570234710.0,178212.0
Ho Chi Minh City : Busan,2018,681,1068736294570.0,173490.0
Ho Chi Minh City : Busan,2019,691,1052604550800.0,194517.0
Ho Chi Minh City : Denpasar,2019,158,49102214082.4,20221.0
Ho Chi Minh City : Frankfurt,2015,325,601973040808.0,64560.0
Ho Chi Minh City : Frankfurt,2016,329,580627535144.0,60485.6
Ho Chi Minh City : Frankfurt,2017,362,673617146000.0,68252.8
Ho Chi Minh City : Frankfurt,2018,389,771602674184.0,74149.6
Ho Chi Minh City : Frankfurt,2019,380,712640666896.0,68386.4
Ho Chi Minh City : Fukuoka,2015,206,95740129542.0,17821.8
Ho Chi Minh City : Fukuoka,2016,214,94942824072.0,17998.2
Ho Chi Minh City : Fukuoka,2017,273,125281818912.0,23159.399999999998
Ho Chi Minh City : Fukuoka,2018,293,135546812496.0,23135.399999999998
Ho Chi Minh City : Fukuoka,2019,390,135748091337.6,25464.6
Ho Chi Minh City : Guangzhou,2015,680,321213593770.0,93700.0
Ho Chi Minh City : Guangzhou,2016,690,332221908388.0,95193.0
Ho Chi Minh City : Guangzhou,2017,684,276838760960.0,86278.0
Ho Chi Minh City : Guangzhou,2018,683,311360241796.0,93790.0
Ho Chi Minh City : Guangzhou,2019,636,325263541000.0,96769.0
Ho Chi Minh City : Hong Kong,2015,957,669986519036.8,224433.6
Ho Chi Minh City : Hong Kong,2016,981,663641048659.2,229702.4
Ho Chi Minh City : Hong Kong,2017,983,544326478531.2,219968.0
Ho Chi Minh City : Hong Kong,2018,992,636888188265.6,241593.6
Ho Chi Minh City : Hong Kong,2019,949,532205278988.8,214915.2
Ho Chi Minh City : Jakarta,2015,650,352796360040.0,85183.0
Ho Chi Minh City : Jakarta,2016,680,330841018174.0,92298.0
Ho Chi Minh City : Jakarta,2017,686,341461307460.0,91852.0
Ho Chi Minh City : Jakarta,2018,701,368949748570.0,95958.0
Ho Chi Minh City : Jakarta,2019,695,380588236490.0,99937.0
Ho Chi Minh City : Kaohsiung,2015,972,574642343450.0,142912.0
Ho Chi Minh City : Kaohsiung,2016,980,503862640436.0,138385.0
Ho Chi Minh City : Kaohsiung,2017,980,459968306756.0,130641.0
Ho Chi Minh City : Kaohsiung,2018,1004,515571877050.0,145318.0
Ho Chi Minh City : Kaohsiung,2019,952,406143634206.0,132868.0
Ho Chi Minh City : Kuala Lumpur,2015,1322,348021030869.2,252556.2
Ho Chi Minh City : Kuala Lumpur,2016,1081,242174196945.2,196550.9
Ho Chi Minh City : Kuala Lumpur,2017,710,192188537847.8,133325.4
Ho Chi Minh City : Kuala Lumpur,2018,692,222375460021.0,139958.0
Ho Chi Minh City : Kuala Lumpur,2019,673,214389478334.2,137766.2
Ho Chi Minh City : Melbourne,2015,663,1264536893330.0,152592.0
Ho Chi Minh City : Melbourne,2016,664,1241522061280.0,152184.0
Ho Chi Minh City : Melbourne,2017,656,1229833795870.0,150903.0
Ho Chi Minh City : Melbourne,2018,693,1361584825530.0,165555.0
Ho Chi Minh City : Melbourne,2019,655,1406387523740.0,166352.0
Ho Chi Minh City : Nagoya,2015,357,161518513770.0,29797.2
Ho Chi Minh City : Nagoya,2016,402,183814355772.0,33672.6
Ho Chi Minh City : Nagoya,2017,557,273228658086.0,47659.799999999996
Ho Chi Minh City : Nagoya,2018,673,382999635438.0,58336.2
Ho Chi Minh City : Nagoya,2019,687,345739160202.0,54836.4
Ho Chi Minh City : Osaka,2015,710,592157819112.0,99145.2
Ho Chi Minh City : Osaka,2016,688,570008072880.0,95508.59999999999
Ho Chi Minh City : Osaka,2017,686,630850534830.0,102622.8
Ho Chi Minh City : Osaka,2018,655,655448785374.0,96685.2
Ho Chi Minh City : Osaka,2019,707,644124360558.0,101014.8
Ho Chi Minh City : Paris,2015,297,592753671360.0,64477.6
Ho Chi Minh City : Paris,2016,304,624312460960.0,65155.2
Ho Chi Minh City : Paris,2017,287,618918149152.0,60264.0
Ho Chi Minh City : Paris,2018,294,688941876880.0,61599.2
Ho Chi Minh City : Paris,2019,293,648907141840.0,60585.6
Ho Chi Minh City : Phnom-penh,2015,692,133737421100.0,88267.0
Ho Chi Minh City : Phnom-penh,2016,692,129555123798.0,89729.0
Ho Chi Minh City : Phnom-penh,2017,679,129157709342.0,87556.0
Ho Chi Minh City : Phnom-penh,2018,692,148266852396.0,93943.0
Ho Chi Minh City : Phnom-penh,2019,693,145405148922.0,92927.0
Ho Chi Minh City : Phuket,2019,106,14616251377.6,8719.2
Ho Chi Minh City : Seoul,2015,1339,1075459648630.0,266686.0
Ho Chi Minh City : Seoul,2016,1270,1081440014800.0,274852.0
Ho Chi Minh City : Seoul,2017,1263,1250157194410.0,274685.0
Ho Chi Minh City : Seoul,2018,1381,1493214784710.0,294738.0
Ho Chi Minh City : Seoul,2019,1357,1332815627490.0,296235.0
Ho Chi Minh City : Shanghai,2015,692,589072704890.0,124729.0
Ho Chi Minh City : Shanghai,2016,685,645471294430.0,143374.0
Ho Chi Minh City : Shanghai,2017,686,546714000060.0,126301.0
Ho Chi Minh City : Shanghai,2018,684,673281666630.0,145746.0
Ho Chi Minh City : Shanghai,2019,634,640271804210.0,141155.0
Ho Chi Minh City : Siem-reap,2015,1253,290082063671.0,150111.0
Ho Chi Minh City : Siem-reap,2016,1355,313212925380.0,162161.0
Ho Chi Minh City : Siem-reap,2017,1383,343722990172.0,174038.0
Ho Chi Minh City : Siem-reap,2018,1254,301043851300.0,147439.0
Ho Chi Minh City : Siem-reap,2019,1109,246547379086.0,118921.0
Ho Chi Minh City : Singapore,2015,2067,628800748298.0,314994.0
Ho Chi Minh City : Singapore,2016,2056,645700015552.0,315459.0
Ho Chi Minh City : Singapore,2017,2049,675880056314.0,308161.0
Ho Chi Minh City : Singapore,2018,2282,799854555986.0,340650.0
Ho Chi Minh City : Singapore,2019,1978,746084810774.0,331332.0
Ho Chi Minh City : Sydney,2015,669,1384924928720.0,163653.0
Ho Chi Minh City : Sydney,2016,683,1369041682940.0,159176.0
Ho Chi Minh City : Sydney,2017,652,1155930638790.0,139319.0
Ho Chi Minh City : Sydney,2018,687,1243118343860.0,149342.0
Ho Chi Minh City : Sydney,2019,683,1297764641480.0,151836.0
Ho Chi Minh City : Taipei,2015,691,358937096110.0,116090.0
Ho Chi Minh City : Taipei,2016,822,336726603994.0,121607.0
Ho Chi Minh City : Taipei,2017,707,287853431356.0,101048.0
Ho Chi Minh City : Taipei,2018,1064,436114756002.0,157958.0
Ho Chi Minh City : Taipei,2019,957,356063922934.0,134757.0
Ho Chi Minh City : Tokyo,2015,1256,838283599572.0,142773.6
Ho Chi Minh City : Tokyo,2016,1252,846037786908.0,142551.0
Ho Chi Minh City : Tokyo,2017,1260,889281914562.0,147398.4
Ho Chi Minh City : Tokyo,2018,1382,1183169715726.0,173524.8
Ho Chi Minh City : Tokyo,2019,1381,1223844643092.0,190026.6
Ho Chi Minh City : Tongren,2019,100,55607560000.0,17284.0
Ho Chi Minh City : Yangon,2015,359,122867864548.0,38425.0
Ho Chi Minh City : Yangon,2016,496,105395227868.0,57740.0
Ho Chi Minh City : Yangon,2017,530,102096823154.0,55539.0
Ho Chi Minh City : Yangon,2018,581,211678717300.0,78228.0
Ho Chi Minh City : Yangon,2019,624,217876381394.0,81875.0
